id,titulo,precio,link,imagen,método,capacidad,ram,color,timestamp
Samsung_Ga_N/A_256GB,Samsung Galaxy S24 Ultra 12gb 256gb Dual Sim Violeta,$3.890.000,https://articulo.mercadolibre.com.co/MCO-2852317638-samsung-galaxy-s24-ultra-12gb-256gb-dual-sim-violeta-_JM?searchVariation=183398645940#polycard_client=search-nordic&searchVariation=183398645940&position=26&search_layout=stack&type=item&tracking_id=2cf2447b-4d45-403a-a8dc-b73fdcc7208b,https://http2.mlstatic.com/D_Q_NP_2X_903471-MCO83903823328_042025-V.webp,BeautifulSoup,256GB,,Violeta,2025-06-15T00:41:45.883096
Samsung_Ga_12GB_512GB,Samsung Galaxy S24 Ultra 5g 512 Gb Titanium Gray 12 Gb Ram,$4.250.000,https://articulo.mercadolibre.com.co/MCO-2877351100-samsung-galaxy-s24-ultra-5g-512-gb-titanium-gray-12-gb-ram-_JM?searchVariation=183705404142#polycard_client=search-nordic&searchVariation=183705404142&position=27&search_layout=stack&type=item&tracking_id=2cf2447b-4d45-403a-a8dc-b73fdcc7208b,https://http2.mlstatic.com/D_Q_NP_2X_987455-MCO83281605913_032025-V.webp,BeautifulSoup,512GB,12GB,Gris,2025-06-15T00:41:45.883352
Samsung_Ga_12GB_256GB,Samsung Galaxy S24 Ultra 5g Dual Sim 256gb Violeta 12gb Ram,$4.100.000,https://articulo.mercadolibre.com.co/MCO-1552975647-samsung-galaxy-s24-ultra-5g-dual-sim-256gb-violeta-12gb-ram-_JM?searchVariation=187160564161#polycard_client=search-nordic&searchVariation=187160564161&position=28&search_layout=stack&type=item&tracking_id=2cf2447b-4d45-403a-a8dc-b73fdcc7208b,https://http2.mlstatic.com/D_Q_NP_2X_791667-MCO82965015375_032025-V.webp,BeautifulSoup,256GB,12GB,Violeta,2025-06-15T00:41:45.883583
Samsung_Ga_N/A_256GB,Samsung Galaxy S24 Ultra Titanium Black 256 Gb Grado A,$3.559.200,https://articulo.mercadolibre.com.co/MCO-1598331747-samsung-galaxy-s24-ultra-titanium-black-256-gb-grado-a-_JM?searchVariation=183851051970#polycard_client=search-nordic&searchVariation=183851051970&position=29&search_layout=stack&type=item&tracking_id=2cf2447b-4d45-403a-a8dc-b73fdcc7208b,https://http2.mlstatic.com/D_Q_NP_2X_954479-MCO85852565889_062025-V.webp,BeautifulSoup,256GB,,Negro,2025-06-15T00:41:45.883810
Samsung_S2_N/A_256GB,"Samsung S24 Ultra Dual Sim 256 Gb Titanio Violeta, Negociabl",$3.599.000,https://articulo.mercadolibre.com.co/MCO-2890206258-samsung-s24-ultra-dual-sim-256-gb-titanio-violeta-negociabl-_JM?searchVariation=188306838775#polycard_client=search-nordic&searchVariation=188306838775&position=30&search_layout=stack&type=item&tracking_id=2cf2447b-4d45-403a-a8dc-b73fdcc7208b,https://http2.mlstatic.com/D_Q_NP_2X_830369-MCO85531810244_062025-V.webp,BeautifulSoup,256GB,,Violeta,2025-06-15T00:41:45.884046
Samsung_Ga_12GB_256GB,Samsung Galaxy S24 Ultra 256gb 12gb Ram Titanium Black,$3.199.000,https://articulo.mercadolibre.com.co/MCO-2889235020-samsung-galaxy-s24-ultra-256gb-12gb-ram-titanium-black-_JM?searchVariation=183835575344#polycard_client=search-nordic&searchVariation=183835575344&position=31&search_layout=stack&type=item&tracking_id=2cf2447b-4d45-403a-a8dc-b73fdcc7208b,https://http2.mlstatic.com/D_Q_NP_2X_812048-MCO85762055961_062025-V.webp,BeautifulSoup,256GB,12GB,Negro,2025-06-15T00:41:45.884274
Celular_Sa_N/A_256GB,Celular Samsung Galaxy S24 Ultra 12gb 256gb Violeta Titanium,$4.000.000,https://articulo.mercadolibre.com.co/MCO-2868826256-celular-samsung-galaxy-s24-ultra-12gb-256gb-violeta-titanium-_JM?searchVariation=187943096543#polycard_client=search-nordic&searchVariation=187943096543&position=32&search_layout=stack&type=item&tracking_id=2cf2447b-4d45-403a-a8dc-b73fdcc7208b,https://http2.mlstatic.com/D_Q_NP_2X_994156-MCO84706269981_052025-V.webp,BeautifulSoup,256GB,,Violeta,2025-06-15T00:41:45.884517
Samsung_Ga_N/A_256GB,Samsung Galaxy S24 Ultra 5g Dual Sim 256 Gb Titanium Black,$3.650.000,https://articulo.mercadolibre.com.co/MCO-1581845121-samsung-galaxy-s24-ultra-5g-dual-sim-256-gb-titanium-black-_JM?searchVariation=187913346643#polycard_client=search-nordic&searchVariation=187913346643&position=33&search_layout=stack&type=item&tracking_id=2cf2447b-4d45-403a-a8dc-b73fdcc7208b,https://http2.mlstatic.com/D_Q_NP_2X_620945-MCO84320189198_052025-V.webp,BeautifulSoup,256GB,,Negro,2025-06-15T00:41:45.884746
Samsung_Ga_N/A_256GB,Samsung Galaxy S24 Ultra De 256gb En Caja Como Nuevo,$3.700.000,https://articulo.mercadolibre.com.co/MCO-1588528261-samsung-galaxy-s24-ultra-de-256gb-en-caja-como-nuevo-_JM?searchVariation=188094198355#polycard_client=search-nordic&searchVariation=188094198355&position=34&search_layout=stack&type=item&tracking_id=2cf2447b-4d45-403a-a8dc-b73fdcc7208b,https://http2.mlstatic.com/D_Q_NP_2X_763948-MCO84817577558_052025-V.webp,BeautifulSoup,256GB,,,2025-06-15T00:41:45.884970
Samsung_Ga_N/A_N/A,Samsung Galaxy S24 Ultra,$4.299.000,https://articulo.mercadolibre.com.co/MCO-1582800289-samsung-galaxy-s24-ultra-_JM?searchVariation=187945312641#polycard_client=search-nordic&searchVariation=187945312641&position=35&search_layout=stack&type=item&tracking_id=2cf2447b-4d45-403a-a8dc-b73fdcc7208b,https://http2.mlstatic.com/D_Q_NP_2X_946574-MCO84713887925_052025-V.webp,BeautifulSoup,,,,2025-06-15T00:41:45.885203
